Mês;Ano;Instalação Portuária;Nome do Berço;Terminal;Mercadoria-Capítulo (SH2);Quantidade de Conteiner (u);Quantidade TEU;Somatório Peso Bruto Conteiner (t);Somatório Carga Geral Solta (t);Somatório Granel Sólido (t);Somatório Granel Líquido (t);Somatório de Carga Bruta (t)
3;2018;Suape;Pier de Granéis Líquidos 2 - Berço Oeste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;389.718,00;389.718,00
3;2018;Suape;Pier de Granéis Líquidos 3 - A;Píer de Graneis Líquidos 3A;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;455.013,00;455.013,00
3;2018;Suape;Pier de Granéis Líquidos 3 - B;Píer de Graneis Líquidos 3B;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;234.481,00;234.481,00
3;2018;Suape;Porto Interno - Berço 01;Cais 1;Contêineres;1.810,00;2.966,00;28.209,00;0;0;0;28.209,00
3;2018;Suape;Porto Interno - Berço 01;Cais 1;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";0;0;0;5.086,00;0;0;5.086,00
3;2018;Suape;Porto Interno - Berço 02 - TECON;Tecon Suape;Contêineres;13.326,00;22.269,00;227.778,00;0;0;0;227.778,00
3;2018;Suape;Porto Interno - Berço 03 - TECON;Tecon Suape;Contêineres;7.165,00;11.655,00;136.213,00;0;0;0;136.213,00
3;2018;Suape;Porto Interno - Berço 04;Cais 4;Cereais;0;0;0;0;27.500,00;0;27.500,00
3;2018;Suape;Porto Interno - Berço 04;Cais 4;Obras de ferro fundido, ferro ou aço;0;0;0;16.362,00;0;0;16.362,00
3;2018;Suape;Porto Interno - Berço 04;Cais 4;Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes;0;0;0;187;0;0;187
3;2018;Suape;Porto Interno - Berço 04;Cais 4;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;2.811,00;0;0;2.811,00
3;2018;Suape;Porto Interno - Berço 05;Cais 5;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;5.748,00;0;0;5.748,00
4;2018;Suape;Cais de Múltiplos Usos - Berço - Leste;Cais de Múltiplos Usos - CMU;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;28.787,00;28.787,00
