Mês,Ano,Instalação Portuária,Nome do Berço,Terminal,Mercadoria-Capítulo (SH2),Quantidade de Conteiner (u),Quantidade TEU,Somatório Peso Bruto Conteiner (t),Somatório Carga Geral Solta (t),Somatório Granel Sólido (t),Somatório Granel Líquido (t),Somatório de Carga Bruta (t)
12,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,2203486,2203486
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"14,58","14,58"
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"48,09","48,09"
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"20,67","20,67"
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"22,09","22,09"
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"57,71","57,71"
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"5,58","5,58"
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"15,51","15,51"
1,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"29,17","29,17"
1,2023,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"210,86","210,86"
1,2023,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"230,17","230,17"
1,2023,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,,0,0,0,0,0,"711,7","711,7"
1,2023,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,,0,0,0,0,0,"250,09","250,09"
1,2023,Suape,Porto Interno - Berço 01,Cais 1,,0,0,0,"48,68",0,0,0
1,2023,Suape,Porto Interno - Berço 01,Cais 1,,"2,34","4,25","47,85",0,0,0,0
1,2023,Suape,Porto Interno - Berço 01,Cais 1,,0,0,0,86,0,0,0
1,2023,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,,"15,79","27,08","283,33",0,0,0,0
1,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"8,9",0,0,0
1,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,"7,15","12,86","130,31",0,0,0,0
1,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,182,0,0,0
1,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,0,"74,63",0,0
1,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"6,53",0,0,0
1,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,12476,0,0,0
1,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"10,75",0,0,0
1,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,1,0,0,0
1,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"1,71",0,0,0
1,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,"31,5",0,0
1,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"7,6",0,0,0
1,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"3,27",0,0,0
2,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"7,91","7,91"
2,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"41,05","41,05"
2,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"40,56","40,56"
2,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"15,8","15,8"
2,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"53,52","53,52"
2,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"3,04","3,04"
2,2023,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"124,2","124,2"
2,2023,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"267,82","267,82"
2,2023,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,,0,0,0,0,0,"516,4","516,4"
2,2023,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,,0,0,0,0,0,"92,56","92,56"
2,2023,Suape,Porto Interno - Berço 01,Cais 1,,"7,46","13,01","135,02",0,0,0,0
2,2023,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,,"15,67","27,75","263,65",0,0,0,0
2,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"14,04",0,0,0
2,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,45,0,0,0
2,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,0,"24,67",0,0
2,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,51550,0,0,0
2,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"3,31",0,0,0
2,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,0,"53,28","53,28"
2,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,"48,7",0,0
2,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"5,04",0,0,0
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"7,23","7,23"
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"53,02","53,02"
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"37,05","37,05"
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"25,7","25,7"
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"12,73","12,73"
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"5,57","5,57"
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"2,99","2,99"
3,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"7,05","7,05"
3,2023,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"192,34","192,34"
3,2023,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"185,06","185,06"
3,2023,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,,0,0,0,0,0,"540,5","540,5"
3,2023,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,,0,0,0,0,0,"132,92","132,92"
3,2023,Suape,Porto Interno - Berço 01,Cais 1,,"8,3",15,"139,32",0,0,0,0
3,2023,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,,"14,76","25,51","303,43",0,0,0,0
3,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"18,06",0,0,0
3,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"8,06",0,0,0
3,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"15,43",0,0,0
3,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,58,0,0,0
3,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"1,13",0,0,0
3,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,0,30,0,0
3,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"7,08",0,0,0
3,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,37000,0,0,0
3,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"5,9",0,0,0
3,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,0,"22,3","22,3"
3,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,"30,8",0,0
3,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,"49,64",0,0
3,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"2,35",0,0,0
4,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"3,95","3,95"
4,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"35,31","35,31"
4,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"34,41","34,41"
4,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"16,04","16,04"
4,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"88,2","88,2"
4,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"6,49","6,49"
4,2023,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"140,95","140,95"
4,2023,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"273,16","273,16"
4,2023,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,,0,0,0,0,0,"777,33","777,33"
4,2023,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,,0,0,0,0,0,"149,85","149,85"
4,2023,Suape,Porto Interno - Berço 01,Cais 1,,"7,86","14,18","160,2",0,0,0,0
4,2023,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,,"14,41","25,6","311,26",0,0,0,0
4,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"10,53",0,0,0
4,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"7,23",0,0,0
4,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,36,0,0,0
4,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"2,99",0,0,0
4,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,0,"52,5",0,0
4,2023,Suape,Porto Interno - Berço 04,Cais 4,,100,100,1785,0,0,0,0
4,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"4,04",0,0,0
4,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,0,"33,35","33,35"
4,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"9,12",0,0,0
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"10,64","10,64"
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"33,25","33,25"
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"7,01","7,01"
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,3,3
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"48,5","48,5"
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"16,8","16,8"
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"69,47","69,47"
5,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"39,75","39,75"
5,2023,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"167,56","167,56"
5,2023,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"26,61","26,61"
5,2023,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,,0,0,0,0,0,"756,16","756,16"
5,2023,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,,0,0,0,0,0,"114,1","114,1"
5,2023,Suape,Porto Interno - Berço 01,Cais 1,,0,0,0,0,0,"3,63","3,63"
5,2023,Suape,Porto Interno - Berço 01,Cais 1,,"10,37","17,9","210,15",0,0,0,0
5,2023,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,,"14,53","25,71","274,99",0,0,0,0
5,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,"22,04",0,0,0
5,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,0,"42,02",0,0
5,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,35000,0,0,0
5,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"1,05",0,0,0
5,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"1,4",0,0,0
5,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"10,39",0,0,0
5,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,0,"75,08","75,08"
5,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,"31,5",0,0
5,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"7,31",0,0,0
6,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"5,16","5,16"
6,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"99,23","99,23"
6,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"15,5","15,5"
6,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"41,56","41,56"
6,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"26,45","26,45"
6,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"7,55","7,55"
6,2023,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"47,08","47,08"
6,2023,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"330,47","330,47"
6,2023,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,,0,0,0,0,0,"114,24","114,24"
6,2023,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,,0,0,0,0,0,"692,79","692,79"
6,2023,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,,0,0,0,0,0,"144,03","144,03"
6,2023,Suape,Porto Interno - Berço 01,Cais 1,,0,0,0,0,0,"110,25","110,25"
6,2023,Suape,Porto Interno - Berço 01,Cais 1,,"9,22","16,22","161,91",0,0,0,0
6,2023,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,,"15,32","27,06","292,89",0,0,0,0
6,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,7,0,0,0
6,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,10,0,0,0
6,2023,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,,0,0,0,89024,0,0,0
6,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,0,33,0,0
6,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,3712,0,0,0
6,2023,Suape,Porto Interno - Berço 04,Cais 4,,0,0,0,"7,08",0,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,2,0,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,0,"23,63","23,63"
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,0,33,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,5,0,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,18,0,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"6,98",0,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,2,0,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,2,0,0,0
6,2023,Suape,Porto Interno - Berço 05,Cais 5,,0,0,0,"1,45",0,0,0
7,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"43,55","43,55"
7,2023,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,,0,0,0,0,0,"81,38","81,38"
