Mês,Ano,Instalação Portuária,Nome do Berço,Terminal,Mercadoria-Capítulo (SH2),Quantidade de Conteiner (u),Quantidade TEU,Somatório Peso Bruto Conteiner (t),Somatório Carga Geral Solta (t),Somatório Granel Sólido (t),Somatório Granel Líquido (t),Somatório de Carga Bruta (t)
1,2020,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,"Bebidas, líquidos alcoólicos e vinagres",0,0,0,0,0,"30027,13","30027,13"
1,2020,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"53513,19","53513,19"
1,2020,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,Produtos químicos orgânicos,0,0,0,0,0,"51479,36","51479,36"
1,2020,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,"Bebidas, líquidos alcoólicos e vinagres",0,0,0,0,0,"28189,13","28189,13"
1,2020,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"18972,03","18972,03"
1,2020,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,Produtos químicos orgânicos,0,0,0,0,0,"32468,68","32468,68"
1,2020,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"109956,41","109956,41"
1,2020,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"197288,5","197288,5"
1,2020,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"792489,37","792489,37"
1,2020,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"564637,18","564637,18"
1,2020,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,Contêineres,19844,33854,"396928,42",0,0,0,"396928,42"
1,2020,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,Contêineres,3991,6748,"73871,24",0,0,0,"73871,24"
1,2020,Suape,Porto Interno - Berço 04,Cais 4,Cereais,0,0,0,0,27500,0,27500
1,2020,Suape,Porto Interno - Berço 04,Cais 4,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",0,0,0,"1173,63",0,0,"1173,63"
1,2020,Suape,Porto Interno - Berço 05,Cais 5,"Ferro fundido, ferro e aço",0,0,0,"13867,89",0,0,"13867,89"
1,2020,Suape,Porto Interno - Berço 05,Cais 5,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",0,0,0,660,0,0,660
1,2020,Suape,Porto Interno - Berço 05,Cais 5,"Obras de ferro fundido, ferro ou aço",0,0,0,"4603,07",0,0,"4603,07"
1,2020,Suape,Porto Interno - Berço 05,Cais 5,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",0,0,0,"872,98",0,0,"872,98"
2,2020,Suape,Cais de Múltiplos Usos - Berço - Leste,Cais de Múltiplos Usos - CMU,Açúcares e produtos de confeitaria,0,0,0,28000,0,0,28000
2,2020,Suape,Cais de Múltiplos Usos - Berço - Leste,Cais de Múltiplos Usos - CMU,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,0,0,0,0,0,"10013,21","10013,21"
2,2020,Suape,Cais de Múltiplos Usos - Berço - Leste,Cais de Múltiplos Usos - CMU,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",0,0,0,"1,79",0,0,"1,79"
2,2020,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,"Bebidas, líquidos alcoólicos e vinagres",0,0,0,0,0,"39610,72","39610,72"
2,2020,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"19971,18","19971,18"
2,2020,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,Produtos químicos orgânicos,0,0,0,0,0,"49378,46","49378,46"
2,2020,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,"Bebidas, líquidos alcoólicos e vinagres",0,0,0,0,0,"24644,33","24644,33"
2,2020,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"84860,36","84860,36"
2,2020,Suape,Pier de Granéis Líquidos 1 - Berço Oeste,Píer de Graneis Líquidos 1,Produtos químicos orgânicos,0,0,0,0,0,"21014,47","21014,47"
2,2020,Suape,Pier de Granéis Líquidos 2 - Berço Leste,Píer de Graneis Líquidos 2,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"104617,91","104617,91"
2,2020,Suape,Pier de Granéis Líquidos 2 - Berço Oeste,Píer de Graneis Líquidos 2,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"168218,08","168218,08"
2,2020,Suape,Pier de Granéis Líquidos 3 - A,Píer de Graneis Líquidos 3A,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"664246,41","664246,41"
2,2020,Suape,Pier de Granéis Líquidos 3 - B,Píer de Graneis Líquidos 3B,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"498854,68","498854,68"
2,2020,Suape,Porto Interno - Berço 02 - TECON,Tecon Suape,Contêineres,19015,32082,"366995,53",0,0,0,"366995,53"
2,2020,Suape,Porto Interno - Berço 03 - TECON,Tecon Suape,Contêineres,3987,6889,"79217,73",0,0,0,"79217,73"
2,2020,Suape,Porto Interno - Berço 04,Cais 4,Açúcares e produtos de confeitaria,0,0,0,"19022,4",0,0,"19022,4"
2,2020,Suape,Porto Interno - Berço 04,Cais 4,Cereais,0,0,0,0,"44150,88",0,"44150,88"
2,2020,Suape,Porto Interno - Berço 04,Cais 4,"Ferro fundido, ferro e aço",0,0,0,"1344,45",0,0,"1344,45"
2,2020,Suape,Porto Interno - Berço 04,Cais 4,"Obras de ferro fundido, ferro ou aço",0,0,0,"4670,59",0,0,"4670,59"
2,2020,Suape,Porto Interno - Berço 04,Cais 4,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",0,0,0,"1,24",0,0,"1,24"
2,2020,Suape,Porto Interno - Berço 04,Cais 4,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",0,0,0,"1881,09",0,0,"1881,09"
2,2020,Suape,Porto Interno - Berço 05,Cais 5,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",0,0,0,0,0,"61559,54","61559,54"
2,2020,Suape,Porto Interno - Berço 05,Cais 5,"Ferro fundido, ferro e aço",0,0,0,"10642,24",0,0,"10642,24"
2,2020,Suape,Porto Interno - Berço 05,Cais 5,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",0,0,0,"18,14",0,0,"18,14"
2,2020,Suape,Porto Interno - Berço 05,Cais 5,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",0,0,0,"3921,38",0,0,"3921,38"
3,2020,Suape,Cais de Múltiplos Usos - Berço - Leste,Cais de Múltiplos Usos - CMU,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,0,0,0,0,0,"7984,38","7984,38"
3,2020,Suape,Pier de Granéis Líquidos 1 - Berço Leste,Píer de Graneis Líquidos 1,"Bebidas, líquidos alcoólicos e vinagres",0,0,0,0,0,"27174,74","27174,74"
